id,name,onsale_price,brand,category,os,cpu,gpu,rating,reviews_count,is_new,url,retailer,created_at,updated_at
311016,"Laptop MSI Modern 15 B12MO - 628VN (i5 1235U, 16GB, 512GB, Full HD, Win11)",12990000,MSI,Laptop,Windows 11 Home SL,Intel Core i5 Alder Lake - 1235U,Intel Iris Xe Graphics,4.9,2888,True,https://www.thegioididong.com/laptop/msi-modern-15-b12mo-i5-628vn,TGDD,2023,2025-08-27 21:51:54
333575,Điện thoại OPPO Reno13 5G 12GB/512GB,15690000,OPPO,Smartphone,Android 15,,,4.9,7734,True,https://www.thegioididong.com/dtdd/oppo-reno13-5g-12gb-512gb,TGDD,01/2025,2025-08-27 21:51:54
334446,"Laptop Lenovo IdeaPad Slim 3 15IRH10 - 83K1000FVN (i7 13620H, 24GB, 512GB, WUXGA, Win11)",19190000,Lenovo,Laptop,Windows 11 Home SL,Intel Core i7 Raptor Lake - 13620H,Intel UHD Graphics,5.0,996,True,https://www.thegioididong.com/laptop/lenovo-ideapad-slim-3-15irh10-i7-83k1000fvn,TGDD,2024,2025-08-27 21:51:54
332936,Điện thoại OPPO Reno13 F 5G 8GB/256GB,9810000,OPPO,Smartphone,Android 15,,,4.9,107816,True,https://www.thegioididong.com/dtdd/oppo-reno13-f-5g,TGDD,01/2025,2025-08-27 21:51:54
326477,Điện thoại Nokia 3210 4G,1570000,Nokia,Phone,S30+,,,4.9,17102,True,https://www.thegioididong.com/dtdd/nokia-3210-4g,TGDD,06/2024,2025-08-27 21:51:54
335174,Điện thoại Samsung Galaxy A36 5G 8GB/256GB,8830000,Samsung,Smartphone,Android 15,,,4.9,27842,True,https://www.thegioididong.com/dtdd/samsung-galaxy-a36-8gb-256gb,TGDD,03/2025,2025-08-27 21:51:54
337470,"Laptop Dell Inspiron 15 3520 - 71064798 (i5 1235U, 16GB, 512GB, Full HD 120Hz, OfficeH24+365, KYHD, Win11)",15990000,Dell,Laptop,Windows 11 Home SL + Office Home 2024 vĩnh viễn,Intel Core i5 Alder Lake - 1235U,Intel Iris Xe Graphics,5.0,1627,True,https://www.thegioididong.com/laptop/dell-inspiron-15-3520-i5-71064798,TGDD,2025,2025-08-27 21:51:54
240259,Điện thoại iPhone 14 128GB,12690000,iPhone (Apple),Smartphone,iOS 17,,,4.9,52853,True,https://www.thegioididong.com/dtdd/iphone-14,TGDD,09/2022,2025-08-27 21:51:54
333351,Điện thoại Samsung Galaxy S25 Ultra 5G 12GB/512GB,29180000,Samsung,Smartphone,Android 15,,,5.0,3681,True,https://www.thegioididong.com/dtdd/samsung-galaxy-s25-ultra-512gb,TGDD,01/2025,2025-08-27 21:51:54
331564,Laptop MacBook Pro 14 inch M4 16GB/512GB,37790000,MacBook,Laptop,macOS Sequoia,Apple M4 - Hãng không công bố,Card tích hợp - 10 nhân GPU,5.0,1376,True,https://www.thegioididong.com/laptop/macbook-pro-14-inch-m4-16gb-512gb,TGDD,10/2024,2025-08-27 21:51:54
